officer_id,officer_name,star,rank,unit,as_of
1,"AARON, JEFFERY",13001,PO,014,2015-09-01
2,"AARON, KARINA",13705,PO,015,2015-09-01
3,"ABDELHADI, ABDALMAHD",7147,PO,191,2015-09-01
4,"ABDELMAJEID, AZIZ",14008,PO,003,2015-09-01
5,"ABDULLAH, MOULAY",4527,,166,2008-12-05
6,"ABRAHAM, NANCY",16579,PO,413,2006-05-09
7,"ABRAMS, HENRY",11485,PO,050,2015-09-01
8,"ABRON, FLOYD",12861,PO,011,2015-09-01
9,"ABUZANAT, ABDALLA",15206,,,2015-09-01
10,"ACCARDO, JENNIFER",9248,PO,024,2008-12-05
11,"ACCARDO, ROSEMARY",,PO,050,2015-09-01
12,"ACCARDO, THOMAS",3392,PO,024,2015-09-01
13,"ACEVEDO, AARON",7792,PO,011,2015-09-01
14,"ACEVEDO, ALEJANDRO",15760,PO,017,2015-09-01
15,"ACEVEDO, BIENVENID",6380,PO,015,2015-09-01
16,"ACEVEDO, EDWARD",4853,PO,016,2015-09-01
17,"ACEVEDO, JANETE",12327,PO,376,2015-09-01
18,"ACEVEDO, JASON",11683,PO,010,2015-09-01
19,"ACEVEDO, JEFF",19029,PO,014,2015-09-01
20,"ACEVES, JUAN",,PO,376,2015-09-01
21,"ACEVEZ, ANTHONY",18154,PO,017,2015-09-01
22,"ACHILLY, LISA",19875,PO,024,2015-09-18
23,"ACOSTA, JESSE",9965,PO,704,2015-09-01
24,"ACOSTA, MARIO",11164,PO,020,2015-09-01
25,"ACSVECS, ZAIREH",10089,PO,007,2015-09-01
26,"ADAIR, KENNETH",4145,,,2015-09-01
27,"ADAMIAK, SIMON",4731,PO,313,2008-12-05
28,"ADAMS II, CRAIG",5831,,,2015-09-01
29,"ADAMS JR, EDWARD",,SGT,004,2008-12-05
30,"ADAMS JR, JERRY",6233,PO,004,2015-09-01
31,"ADAMS, CRAIG",,PO,701,2015-09-01
32,"ADAMS, DAVID",19317,PO,001,2015-09-01
33,"ADAMS, DWAYNE",4483,PO,005,2015-09-01
34,"ADAMS, JERRY",,SGT,603,2015-09-01
35,"ADAMS, MATTHEW",16079,PO,411,2015-09-01
36,"ADAMS, MICHAEL",20299,DET,610,2015-09-18
37,"ADAMS, RYAN",11786,PO,004,2015-09-01
38,"ADAMS, TIMOTHY",9186,PO,025,2015-09-01
