officer_id,crid,gender,race,race_edit,star,birth_year
8469,1043946,M,BLACK,Black,13775,
9201,1043946,M,WHITE,White,,
9428,1043946,M,WHITE,White,,
859,1043959,F,BLACK,Black,14263,
9124,1043959,M,BLACK,Black,13948,
3360,1043964,M,SPANISH (DO NOT USE),Hispanic,4395,
9006,1043964,F,BLACK,Black,9815,
9061,1043964,F,WHITE,White,,
9181,1043964,F,SPANISH (DO NOT USE),Hispanic,15659,
8976,1043965,M,SPANISH (DO NOT USE),Hispanic,9809,
9374,1043965,M,WHITE,White,10746,
9702,1043965,M,WHITE,White,,
478,1044029,F,BLACK,Black,7078,
893,1044029,F,BLACK,Black,10109,
4697,1044029,M,SPANISH (DO NOT USE),Hispanic,5344,
5437,1044029,M,WHITE,White,933,
8944,1044029,M,BLACK,Black,,
9406,1044029,M,ASIAN/PACIFIC ISLANDER,Asian,17526,
305,1044077,M,WHITE,White,15751,
1191,1044077,M,SPANISH (DO NOT USE),Hispanic,16563,
1459,1044077,F,WHITE,White,1343,
3142,1044077,M,WHITE,White,4709,
3797,1044077,F,WHITE,White,17327,
7208,1044077,M,WHITE,White,2630,
8841,1044077,M,WHITE,White,19626,
9023,1044077,M,WHITE,White,11982,
9152,1044077,M,SPANISH (DO NOT USE),Hispanic,4098,
9476,1044077,M,WHITE,White,15646,
8445,1044088,M,WHITE,White,18630,
9571,1044088,F,SPANISH (DO NOT USE),Hispanic,4817,
1191,1044106,M,SPANISH (DO NOT USE),Hispanic,16563,
2209,1044106,M,WHITE,White,291,
8841,1044106,M,WHITE,White,19626,
9412,1044106,F,WHITE,White,,
9476,1044106,M,WHITE,White,15646,
889,1044125,F,BLACK,Black,9784,
8594,1044125,M,BLACK,Black,6616,
8945,1044125,F,WHITE,White,,
9180,1044125,F,BLACK,Black,,
825,1044141,M,BLACK,Black,17514,
5384,1044141,M,SPANISH (DO NOT USE),Hispanic,13370,
2129,1044183,F,WHITE,White,19105,
4260,1044183,M,WHITE,White,11024,
8986,1044220,M,WHITE,White,1170,
9233,1044220,M,WHITE,White,16547,
9543,1044220,M,WHITE,White,,
4851,1044246,M,WHITE,White,19568,
3388,1044266,M,WHITE,White,12075,
5098,1044266,M,WHITE,White,278,
1458,1044269,M,WHITE,White,4235,
2313,1044269,M,WHITE,White,19848,
2973,1044269,M,SPANISH (DO NOT USE),Hispanic,20291,
6837,1044269,M,WHITE,White,16315,
7582,1044269,M,WHITE,White,19650,
9235,1044269,M,BLACK,Black,,
9422,1044271,F,SPANISH (DO NOT USE),Hispanic,,
2371,1044274,M,WHITE,White,5012,
3024,1044274,M,WHITE,White,7811,
3582,1044274,M,WHITE,White,9657,
4355,1044274,M,WHITE,White,1119,
4714,1044274,M,WHITE,White,21148,
4824,1044274,M,WHITE,White,4718,
5210,1044274,M,WHITE,White,6115,
7511,1044274,M,BLACK,Black,4723,
3568,1044281,M,BLACK,Black,7749,
8684,1044281,F,BLACK,Black,14382,
5960,1044304,M,WHITE,White,10878,
4113,1044305,M,WHITE,White,1861,
814,1044321,F,BLACK,Black,19247,
1009,1044321,M,BLACK,Black,12456,
2482,1044321,F,BLACK,Black,16176,
5653,1044321,F,BLACK,Black,12154,
9573,1044321,F,WHITE,White,1535,
1469,1044343,M,WHITE,White,13184,
3397,1044343,M,BLACK,Black,4747,
9679,1044358,M,BLACK,Black,2636,
4288,1044382,M,WHITE,White,305,
9661,1044393,M,WHITE,White,,
9536,1044407,F,BLACK,Black,17676,
5366,1044415,F,WHITE,White,1754,
80,1044432,F,BLACK,Black,3882,
3885,1044432,M,BLACK,Black,6268,
4676,1044432,M,SPANISH (DO NOT USE),Hispanic,15369,
8168,1044432,M,SPANISH (DO NOT USE),Hispanic,15777,
9367,1044432,M,WHITE,White,,
883,1044448,M,WHITE,White,19199,
5208,1044459,M,WHITE,White,5089,
3489,1044464,M,WHITE,White,4043,
6779,1044464,M,SPANISH (DO NOT USE),Hispanic,8618,
4113,1044475,M,WHITE,White,1861,
4658,1044475,M,WHITE,White,2361,
5333,1044475,F,WHITE,White,1252,
9293,1044475,M,BLACK,Black,73.00,
6131,1044514,M,BLACK,Black,5963,
6394,1044514,M,WHITE,White,2147,
7516,1044514,M,WHITE,White,1449,
9450,1044514,M,WHITE,White,13.00,
2608,1044589,M,WHITE,White,4548,
8995,1044589,M,BLACK,Black,,
9158,1044589,F,WHITE,White,8337,
9436,1044589,F,WHITE,White,11961,
9375,1044654,F,SPANISH (DO NOT USE),Hispanic,,
9008,1044655,M,BLACK,Black,5023,
9020,1044655,M,SPANISH (DO NOT USE),Hispanic,17633,
9115,1044655,F,WHITE,White,6796,
9247,1044658,M,WHITE,White,20598,
2368,1044673,M,BLACK,Black,12773,
9040,1044673,F,SPANISH (DO NOT USE),Hispanic,12327,
728,1044690,M,BLACK,Black,12567,
4178,1044699,M,WHITE,White,7588,
304,1044747,M,WHITE,White,12652,
1744,1044775,M,BLACK,Black,12325,
2511,1044775,M,BLACK,Black,8862,
4513,1044775,M,BLACK,Black,4952,
4512,1044780,F,WHITE,White,14791,
5865,1044780,M,WHITE,White,10925,
9273,1044806,M,WHITE,White,,
9077,1044843,F,WHITE,White,8811,
2874,1044852,M,SPANISH (DO NOT USE),Hispanic,3160,
5118,1044855,F,WHITE,White,1148,
66,1044875,M,SPANISH (DO NOT USE),Hispanic,12033,
1225,1044875,M,SPANISH (DO NOT USE),Hispanic,13354,
3783,1044875,M,BLACK,Black,7129,
5197,1044875,F,SPANISH (DO NOT USE),Hispanic,13176,
7882,1044875,M,BLACK,Black,16317,
189,1044898,M,WHITE,White,6369,
1232,1044898,M,SPANISH (DO NOT USE),Hispanic,19293,
3395,1044898,M,SPANISH (DO NOT USE),Hispanic,11523,
4207,1044898,M,WHITE,White,12692,
638,1044925,F,BLACK,Black,12286,
5578,1044925,M,BLACK,Black,6653,
9239,1044925,M,BLACK,Black,12291,
9689,1044925,M,BLACK,Black,,
9131,1044936,M,WHITE,White,983,
8404,1044945,F,WHITE,White,13519,
637,1044960,M,WHITE,White,1622,
9463,1044987,M,WHITE,White,,
9682,1045000,M,WHITE,White,2030,
9388,1045016,M,BLACK,Black,13913,
277,1045018,M,WHITE,White,1778,
9470,1045018,F,WHITE,White,,
3383,1045024,M,WHITE,White,14344,
1548,1045028,M,WHITE,White,7434,
2017,1045028,M,WHITE,White,4257,
6865,1045028,M,ASIAN/PACIFIC ISLANDER,Asian,10650,
7753,1045028,M,WHITE,White,16256,
8928,1045028,M,WHITE,White,7822,
0,1045029,M,BLACK,Black,,
3560,1045099,M,WHITE,White,1330,
9414,1045099,F,WHITE,White,15257,
5455,1045105,M,WHITE,White,1208,
8142,1045105,M,WHITE,White,16569,
9454,1045111,M,WHITE,White,,
9103,1045140,M,BLACK,Black,,
1614,1045147,M,WHITE,White,12580,
4869,1045147,M,WHITE,White,1099,
680,1045148,M,SPANISH (DO NOT USE),Hispanic,12800,
6617,1045203,F,BLACK,Black,2756,
7393,1045224,M,WHITE,White,12900,
2435,1045256,M,WHITE,White,1855,
5154,1045277,M,WHITE,White,7846,
6154,1045277,M,SPANISH (DO NOT USE),Hispanic,19165,
8974,1045277,M,WHITE,White,,
9336,1045277,M,WHITE,White,,
4204,1045293,F,WHITE,White,16103,
6162,1045293,M,SPANISH (DO NOT USE),Hispanic,7079,
401,1045296,M,WHITE,White,11095,
9112,1045298,M,SPANISH (DO NOT USE),Hispanic,8853,
8682,1045305,F,BLACK,Black,4947,
2115,1045316,F,BLACK,Black,1803,
7768,1045316,M,BLACK,Black,16740,
7281,1045318,M,SPANISH (DO NOT USE),Hispanic,16946,
7627,1045318,M,WHITE,White,3119,
811,1045320,M,BLACK,Black,11593,
2483,1045320,M,BLACK,Black,17039,
6074,1045320,M,BLACK,Black,15032,
9255,1045330,F,WHITE,White,16791,
0,1045331,F,WHITE,White,,
1237,1045334,M,SPANISH (DO NOT USE),Hispanic,14881,
2066,1045334,M,WHITE,White,14875,
6307,1045334,F,WHITE,White,577,
6675,1045334,M,WHITE,White,13228,
7914,1045334,M,BLACK,Black,14119,
3179,1045335,M,WHITE,White,3833,
605,1045376,M,SPANISH (DO NOT USE),Hispanic,794,
950,1045376,M,BLACK,Black,6227,
9074,1045376,F,WHITE,White,7094,
9191,1045376,M,WHITE,White,300,
356,1045377,M,BLACK,Black,15772,
9397,1045378,M,WHITE,White,,
4145,1045382,M,WHITE,White,13217,
9563,1045382,M,WHITE,White,16015,
625,1045453,M,WHITE,White,1122,
6216,1045453,M,SPANISH (DO NOT USE),Hispanic,8594,
8980,1045453,M,WHITE,White,11431,
9036,1045453,M,SPANISH (DO NOT USE),Hispanic,10946,
9068,1045453,M,SPANISH (DO NOT USE),Hispanic,14195,
9071,1045453,F,WHITE,White,14314,
9084,1045453,M,BLACK,Black,11662,
9286,1045453,M,BLACK,Black,1571,
9318,1045453,F,WHITE,White,17222,
9363,1045453,M,WHITE,White,,
9423,1045453,M,WHITE,White,12909,
